id,rodent_survey_id,rodent_species_id,weight,recapture,species_code,genus,species,family,site_id,start_date,end_date,quadrat,weather,notes,num_traps
144807,17,117,125.8,0,NEAL,Neotoma,albigula,Muridae,10,1992-06-30,1992-07-01,1,NA,NA,49
144808,17,117,111,0,NEAL,Neotoma,albigula,Muridae,10,1992-06-30,1992-07-01,1,NA,NA,49
144809,17,117,114.6,0,NEAL,Neotoma,albigula,Muridae,10,1992-06-30,1992-07-01,1,NA,NA,49
144810,17,112,33.5,0,CHPE,Chaetodipus,penicillatus,Heteromyid,10,1992-06-30,1992-07-01,1,NA,NA,49
144811,17,117,94.5,0,NEAL,Neotoma,albigula,Muridae,10,1992-06-30,1992-07-01,1,NA,NA,49
144812,17,111,10.6,0,CHIN,Chaetodipus,intermedius,Heteromyid,10,1992-06-30,1992-07-01,1,NA,NA,49
144813,17,117,117,0,NEAL,Neotoma,albigula,Muridae,10,1992-06-30,1992-07-01,1,NA,NA,49
144814,17,117,141.8,0,NEAL,Neotoma,albigula,Muridae,10,1992-06-30,1992-07-01,1,NA,NA,49
144815,17,117,151.2,0,NEAL,Neotoma,albigula,Muridae,10,1992-06-30,1992-07-01,1,NA,NA,49
144816,17,117,119.8,0,NEAL,Neotoma,albigula,Muridae,10,1992-06-30,1992-07-01,1,NA,NA,49
144817,17,117,85,0,NEAL,Neotoma,albigula,Muridae,10,1992-06-30,1992-07-01,1,NA,NA,49
144818,17,117,167.5,0,NEAL,Neotoma,albigula,Muridae,10,1992-06-30,1992-07-01,1,NA,NA,49
144819,17,112,10.6,0,CHPE,Chaetodipus,penicillatus,Heteromyid,10,1992-06-30,1992-07-01,1,NA,NA,49
144820,17,117,86.2,0,NEAL,Neotoma,albigula,Muridae,10,1992-06-30,1992-07-01,1,NA,NA,49
144821,17,112,8.4,0,CHPE,Chaetodipus,penicillatus,Heteromyid,10,1992-06-30,1992-07-01,1,NA,NA,49
144822,17,112,22.6,0,CHPE,Chaetodipus,penicillatus,Heteromyid,10,1992-06-30,1992-07-01,1,NA,NA,49
144823,17,111,10.9,0,CHIN,Chaetodipus,intermedius,Heteromyid,10,1992-06-30,1992-07-01,1,NA,NA,49
144824,17,117,111,0,NEAL,Neotoma,albigula,Muridae,10,1992-06-30,1992-07-01,1,NA,NA,49
144825,17,111,12.2,0,CHIN,Chaetodipus,intermedius,Heteromyid,10,1992-06-30,1992-07-01,1,NA,NA,49
144826,17,117,144.2,0,NEAL,Neotoma,albigula,Muridae,10,1992-06-30,1992-07-01,1,NA,NA,49
144827,17,120,14.5,0,PEER,Peromyscus,eremicus,Muridae,10,1992-06-30,1992-07-01,1,NA,NA,49
144828,17,112,19.4,0,CHPE,Chaetodipus,penicillatus,Heteromyid,10,1992-06-30,1992-07-01,1,NA,NA,49
144829,18,111,27.4,0,CHIN,Chaetodipus,intermedius,Heteromyid,10,1992-06-30,1992-07-01,2,NA,NA,49
144830,18,117,205,0,NEAL,Neotoma,albigula,Muridae,10,1992-06-30,1992-07-01,2,NA,NA,49
144831,18,112,21.6,0,CHPE,Chaetodipus,penicillatus,Heteromyid,10,1992-06-30,1992-07-01,2,NA,NA,49
144832,18,112,27.4,0,CHPE,Chaetodipus,penicillatus,Heteromyid,10,1992-06-30,1992-07-01,2,NA,NA,49
144833,18,117,107,0,NEAL,Neotoma,albigula,Muridae,10,1992-06-30,1992-07-01,2,NA,NA,49
144834,18,112,26.4,0,CHPE,Chaetodipus,penicillatus,Heteromyid,10,1992-06-30,1992-07-01,2,NA,NA,49
144835,18,112,18.6,0,CHPE,Chaetodipus,penicillatus,Heteromyid,10,1992-06-30,1992-07-01,2,NA,NA,49
144836,18,112,23,0,CHPE,Chaetodipus,penicillatus,Heteromyid,10,1992-06-30,1992-07-01,2,NA,NA,49
144837,18,112,26.2,0,CHPE,Chaetodipus,penicillatus,Heteromyid,10,1992-06-30,1992-07-01,2,NA,NA,49
144838,18,120,25.2,0,PEER,Peromyscus,eremicus,Muridae,10,1992-06-30,1992-07-01,2,NA,NA,49
144839,18,112,27.2,0,CHPE,Chaetodipus,penicillatus,Heteromyid,10,1992-06-30,1992-07-01,2,NA,NA,49
144840,18,112,22.2,0,CHPE,Chaetodipus,penicillatus,Heteromyid,10,1992-06-30,1992-07-01,2,NA,NA,49
144841,18,117,116,0,NEAL,Neotoma,albigula,Muridae,10,1992-06-30,1992-07-01,2,NA,NA,49
144842,18,112,28.5,0,CHPE,Chaetodipus,penicillatus,Heteromyid,10,1992-06-30,1992-07-01,2,NA,NA,49
144843,18,112,21.5,0,CHPE,Chaetodipus,penicillatus,Heteromyid,10,1992-06-30,1992-07-01,2,NA,NA,49
144844,18,111,22.4,0,CHIN,Chaetodipus,intermedius,Heteromyid,10,1992-06-30,1992-07-01,2,NA,NA,49
144845,18,117,126.2,0,NEAL,Neotoma,albigula,Muridae,10,1992-06-30,1992-07-01,2,NA,NA,49
144846,18,112,23.6,0,CHPE,Chaetodipus,penicillatus,Heteromyid,10,1992-06-30,1992-07-01,2,NA,NA,49
144847,18,112,20.8,0,CHPE,Chaetodipus,penicillatus,Heteromyid,10,1992-06-30,1992-07-01,2,NA,NA,49
144848,18,112,28.3,0,CHPE,Chaetodipus,penicillatus,Heteromyid,10,1992-06-30,1992-07-01,2,NA,NA,49
144849,18,117,117,0,NEAL,Neotoma,albigula,Muridae,10,1992-06-30,1992-07-01,2,NA,NA,49
144850,18,112,19.4,0,CHPE,Chaetodipus,penicillatus,Heteromyid,10,1992-06-30,1992-07-01,2,NA,NA,49
144851,18,111,24.4,0,CHIN,Chaetodipus,intermedius,Heteromyid,10,1992-06-30,1992-07-01,2,NA,NA,49
144852,18,110,31.8,0,CHBA,Chaetodipus,baileyi,Heteromyid,10,1992-06-30,1992-07-01,2,NA,NA,49
144853,18,117,163,0,NEAL,Neotoma,albigula,Muridae,10,1992-06-30,1992-07-01,2,NA,NA,49
144854,18,117,73.8,0,NEAL,Neotoma,albigula,Muridae,10,1992-06-30,1992-07-01,2,NA,NA,49
144855,18,112,21.6,0,CHPE,Chaetodipus,penicillatus,Heteromyid,10,1992-06-30,1992-07-01,2,NA,NA,49
144856,18,112,18.8,0,CHPE,Chaetodipus,penicillatus,Heteromyid,10,1992-06-30,1992-07-01,2,NA,NA,49
144857,18,112,22.2,0,CHPE,Chaetodipus,penicillatus,Heteromyid,10,1992-06-30,1992-07-01,2,NA,NA,49
144858,18,110,30.6,0,CHBA,Chaetodipus,baileyi,Heteromyid,10,1992-06-30,1992-07-01,2,NA,NA,49
144859,17,111,10.2,0,CHIN,Chaetodipus,intermedius,Heteromyid,10,1992-06-30,1992-07-01,1,NA,NA,49
144860,17,112,22.5,0,CHPE,Chaetodipus,penicillatus,Heteromyid,10,1992-06-30,1992-07-01,1,NA,NA,49
144861,17,112,11.6,0,CHPE,Chaetodipus,penicillatus,Heteromyid,10,1992-06-30,1992-07-01,1,NA,NA,49
144862,17,111,11.3,0,CHIN,Chaetodipus,intermedius,Heteromyid,10,1992-06-30,1992-07-01,1,NA,NA,49
144863,17,112,11.2,0,CHPE,Chaetodipus,penicillatus,Heteromyid,10,1992-06-30,1992-07-01,1,NA,NA,49
144864,17,117,175.5,0,NEAL,Neotoma,albigula,Muridae,10,1992-06-30,1992-07-01,1,NA,NA,49
144865,17,112,11,0,CHPE,Chaetodipus,penicillatus,Heteromyid,10,1992-06-30,1992-07-01,1,NA,NA,49
144866,17,117,74.4,0,NEAL,Neotoma,albigula,Muridae,10,1992-06-30,1992-07-01,1,NA,NA,49
144867,17,117,NA,1,NEAL,Neotoma,albigula,Muridae,10,1992-06-30,1992-07-01,1,NA,NA,49
144868,17,117,NA,1,NEAL,Neotoma,albigula,Muridae,10,1992-06-30,1992-07-01,1,NA,NA,49
144869,17,117,NA,1,NEAL,Neotoma,albigula,Muridae,10,1992-06-30,1992-07-01,1,NA,NA,49
144870,17,117,NA,1,NEAL,Neotoma,albigula,Muridae,10,1992-06-30,1992-07-01,1,NA,NA,49
144871,17,120,19.2,0,PEER,Peromyscus,eremicus,Muridae,10,1992-06-30,1992-07-01,1,NA,NA,49
144872,17,120,21,0,PEER,Peromyscus,eremicus,Muridae,10,1992-06-30,1992-07-01,1,NA,NA,49
144873,17,112,11.5,0,CHPE,Chaetodipus,penicillatus,Heteromyid,10,1992-06-30,1992-07-01,1,NA,NA,49
144874,17,117,120.8,0,NEAL,Neotoma,albigula,Muridae,10,1992-06-30,1992-07-01,1,NA,NA,49
144875,17,110,19.3,0,CHBA,Chaetodipus,baileyi,Heteromyid,10,1992-06-30,1992-07-01,1,NA,NA,49
144876,17,111,NA,1,CHIN,Chaetodipus,intermedius,Heteromyid,10,1992-06-30,1992-07-01,1,NA,NA,49
144877,17,112,11.8,0,CHPE,Chaetodipus,penicillatus,Heteromyid,10,1992-06-30,1992-07-01,1,NA,NA,49
144878,17,112,9.3,0,CHPE,Chaetodipus,penicillatus,Heteromyid,10,1992-06-30,1992-07-01,1,NA,NA,49
144879,17,110,24.9,0,CHBA,Chaetodipus,baileyi,Heteromyid,10,1992-06-30,1992-07-01,1,NA,NA,49
144880,17,117,NA,1,NEAL,Neotoma,albigula,Muridae,10,1992-06-30,1992-07-01,1,NA,NA,49
144881,17,117,NA,1,NEAL,Neotoma,albigula,Muridae,10,1992-06-30,1992-07-01,1,NA,NA,49
144882,17,117,NA,1,NEAL,Neotoma,albigula,Muridae,10,1992-06-30,1992-07-01,1,NA,NA,49
144883,17,120,15.4,0,PEER,Peromyscus,eremicus,Muridae,10,1992-06-30,1992-07-01,1,NA,NA,49
144884,17,117,64,0,NEAL,Neotoma,albigula,Muridae,10,1992-06-30,1992-07-01,1,NA,NA,49
144885,17,112,NA,1,CHPE,Chaetodipus,penicillatus,Heteromyid,10,1992-06-30,1992-07-01,1,NA,NA,49
144886,17,117,65.2,0,NEAL,Neotoma,albigula,Muridae,10,1992-06-30,1992-07-01,1,NA,NA,49
144887,17,117,NA,1,NEAL,Neotoma,albigula,Muridae,10,1992-06-30,1992-07-01,1,NA,NA,49
144888,17,117,NA,1,NEAL,Neotoma,albigula,Muridae,10,1992-06-30,1992-07-01,1,NA,NA,49
144889,17,110,37.8,0,CHBA,Chaetodipus,baileyi,Heteromyid,10,1992-06-30,1992-07-01,1,NA,NA,49
144890,17,110,20.9,0,CHBA,Chaetodipus,baileyi,Heteromyid,10,1992-06-30,1992-07-01,1,NA,NA,49
144891,17,112,11,0,CHPE,Chaetodipus,penicillatus,Heteromyid,10,1992-06-30,1992-07-01,1,NA,NA,49
144892,17,110,17.2,0,CHBA,Chaetodipus,baileyi,Heteromyid,10,1992-06-30,1992-07-01,1,NA,NA,49
144893,17,117,106,0,NEAL,Neotoma,albigula,Muridae,10,1992-06-30,1992-07-01,1,NA,NA,49
144894,17,117,NA,1,NEAL,Neotoma,albigula,Muridae,10,1992-06-30,1992-07-01,1,NA,NA,49
144895,17,117,114.4,0,NEAL,Neotoma,albigula,Muridae,10,1992-06-30,1992-07-01,1,NA,NA,49
144896,18,112,27.8,0,CHPE,Chaetodipus,penicillatus,Heteromyid,10,1992-06-30,1992-07-01,2,NA,NA,49
144897,18,120,23,0,PEER,Peromyscus,eremicus,Muridae,10,1992-06-30,1992-07-01,2,NA,NA,49
144898,18,110,13.8,0,CHBA,Chaetodipus,baileyi,Heteromyid,10,1992-06-30,1992-07-01,2,NA,NA,49
144899,18,120,17.9,0,PEER,Peromyscus,eremicus,Muridae,10,1992-06-30,1992-07-01,2,NA,NA,49
144900,18,110,29.5,0,CHBA,Chaetodipus,baileyi,Heteromyid,10,1992-06-30,1992-07-01,2,NA,NA,49
144901,18,110,23.6,0,CHBA,Chaetodipus,baileyi,Heteromyid,10,1992-06-30,1992-07-01,2,NA,NA,49
144902,18,110,NA,1,CHBA,Chaetodipus,baileyi,Heteromyid,10,1992-06-30,1992-07-01,2,NA,NA,49
144903,18,117,NA,1,NEAL,Neotoma,albigula,Muridae,10,1992-06-30,1992-07-01,2,NA,NA,49
144904,18,120,21,0,PEER,Peromyscus,eremicus,Muridae,10,1992-06-30,1992-07-01,2,NA,NA,49
144905,18,117,113,0,NEAL,Neotoma,albigula,Muridae,10,1992-06-30,1992-07-01,2,NA,NA,49
144906,18,112,15.5,0,CHPE,Chaetodipus,penicillatus,Heteromyid,10,1992-06-30,1992-07-01,2,NA,NA,49
144907,18,110,28.5,0,CHBA,Chaetodipus,baileyi,Heteromyid,10,1992-06-30,1992-07-01,2,NA,NA,49
144908,18,120,15.3,0,PEER,Peromyscus,eremicus,Muridae,10,1992-06-30,1992-07-01,2,NA,NA,49
144909,18,120,20.2,0,PEER,Peromyscus,eremicus,Muridae,10,1992-06-30,1992-07-01,2,NA,NA,49
144910,18,112,NA,1,CHPE,Chaetodipus,penicillatus,Heteromyid,10,1992-06-30,1992-07-01,2,NA,NA,49
144911,18,112,17.6,0,CHPE,Chaetodipus,penicillatus,Heteromyid,10,1992-06-30,1992-07-01,2,NA,NA,49
144912,18,112,NA,1,CHPE,Chaetodipus,penicillatus,Heteromyid,10,1992-06-30,1992-07-01,2,NA,NA,49
144913,18,112,23,0,CHPE,Chaetodipus,penicillatus,Heteromyid,10,1992-06-30,1992-07-01,2,NA,NA,49
144914,18,112,23.8,0,CHPE,Chaetodipus,penicillatus,Heteromyid,10,1992-06-30,1992-07-01,2,NA,NA,49
144915,18,117,145,0,NEAL,Neotoma,albigula,Muridae,10,1992-06-30,1992-07-01,2,NA,NA,49
144916,18,120,15.2,0,PEER,Peromyscus,eremicus,Muridae,10,1992-06-30,1992-07-01,2,NA,NA,49
144917,18,120,21.2,0,PEER,Peromyscus,eremicus,Muridae,10,1992-06-30,1992-07-01,2,NA,NA,49
144918,19,112,12.7,0,CHPE,Chaetodipus,penicillatus,Heteromyid,6,1992-06-23,1992-06-24,1,NA,NA,49
144919,19,112,19,0,CHPE,Chaetodipus,penicillatus,Heteromyid,6,1992-06-23,1992-06-24,1,NA,NA,49
144920,19,120,25.5,0,PEER,Peromyscus,eremicus,Muridae,6,1992-06-23,1992-06-24,1,NA,NA,49
144921,19,115,35,0,DIME,Dipodomys,merriami,Heteromyid,6,1992-06-23,1992-06-24,1,NA,NA,49
144922,19,112,13.4,0,CHPE,Chaetodipus,penicillatus,Heteromyid,6,1992-06-23,1992-06-24,1,NA,NA,49
144923,19,112,16.3,0,CHPE,Chaetodipus,penicillatus,Heteromyid,6,1992-06-23,1992-06-24,1,NA,NA,49
144924,19,112,15,0,CHPE,Chaetodipus,penicillatus,Heteromyid,6,1992-06-23,1992-06-24,1,NA,NA,49
144925,19,112,17.7,0,CHPE,Chaetodipus,penicillatus,Heteromyid,6,1992-06-23,1992-06-24,1,NA,NA,49
144926,19,112,21.9,0,CHPE,Chaetodipus,penicillatus,Heteromyid,6,1992-06-23,1992-06-24,1,NA,NA,49
144927,19,112,19.3,0,CHPE,Chaetodipus,penicillatus,Heteromyid,6,1992-06-23,1992-06-24,1,NA,NA,49
144928,19,112,18.4,0,CHPE,Chaetodipus,penicillatus,Heteromyid,6,1992-06-23,1992-06-24,1,NA,NA,49
144929,19,112,12.6,0,CHPE,Chaetodipus,penicillatus,Heteromyid,6,1992-06-23,1992-06-24,1,NA,NA,49
144930,19,115,38.2,0,DIME,Dipodomys,merriami,Heteromyid,6,1992-06-23,1992-06-24,1,NA,NA,49
144931,19,112,15.8,0,CHPE,Chaetodipus,penicillatus,Heteromyid,6,1992-06-23,1992-06-24,1,NA,NA,49
144932,19,112,15.8,0,CHPE,Chaetodipus,penicillatus,Heteromyid,6,1992-06-23,1992-06-24,1,NA,NA,49
144933,19,112,12,0,CHPE,Chaetodipus,penicillatus,Heteromyid,6,1992-06-23,1992-06-24,1,NA,NA,49
144934,19,115,42.6,0,DIME,Dipodomys,merriami,Heteromyid,6,1992-06-23,1992-06-24,1,NA,NA,49
144935,19,117,113,0,NEAL,Neotoma,albigula,Muridae,6,1992-06-23,1992-06-24,1,NA,NA,49
144936,19,115,46.2,0,DIME,Dipodomys,merriami,Heteromyid,6,1992-06-23,1992-06-24,1,NA,NA,49
144937,19,112,10,0,CHPE,Chaetodipus,penicillatus,Heteromyid,6,1992-06-23,1992-06-24,1,NA,NA,49
144938,19,112,14,0,CHPE,Chaetodipus,penicillatus,Heteromyid,6,1992-06-23,1992-06-24,1,NA,NA,49
144939,19,112,16.2,0,CHPE,Chaetodipus,penicillatus,Heteromyid,6,1992-06-23,1992-06-24,1,NA,NA,49
144940,19,112,11.8,0,CHPE,Chaetodipus,penicillatus,Heteromyid,6,1992-06-23,1992-06-24,1,NA,NA,49
144941,19,112,16.6,0,CHPE,Chaetodipus,penicillatus,Heteromyid,6,1992-06-23,1992-06-24,1,NA,NA,49
144942,19,115,42,0,DIME,Dipodomys,merriami,Heteromyid,6,1992-06-23,1992-06-24,1,NA,NA,49
144943,19,112,19.8,0,CHPE,Chaetodipus,penicillatus,Heteromyid,6,1992-06-23,1992-06-24,1,NA,NA,49
144944,19,112,17.5,0,CHPE,Chaetodipus,penicillatus,Heteromyid,6,1992-06-23,1992-06-24,1,NA,NA,49
144945,19,112,18.5,0,CHPE,Chaetodipus,penicillatus,Heteromyid,6,1992-06-23,1992-06-24,1,NA,NA,49
144946,20,112,17.6,0,CHPE,Chaetodipus,penicillatus,Heteromyid,6,1992-06-23,1992-06-24,2,NA,NA,49
144947,20,112,14,0,CHPE,Chaetodipus,penicillatus,Heteromyid,6,1992-06-23,1992-06-24,2,NA,NA,49
144948,20,112,19.4,0,CHPE,Chaetodipus,penicillatus,Heteromyid,6,1992-06-23,1992-06-24,2,NA,NA,49
144949,20,112,15.1,0,CHPE,Chaetodipus,penicillatus,Heteromyid,6,1992-06-23,1992-06-24,2,NA,NA,49
144950,20,112,20,0,CHPE,Chaetodipus,penicillatus,Heteromyid,6,1992-06-23,1992-06-24,2,NA,NA,49
144951,20,112,13.8,0,CHPE,Chaetodipus,penicillatus,Heteromyid,6,1992-06-23,1992-06-24,2,NA,NA,49
144952,20,112,14,0,CHPE,Chaetodipus,penicillatus,Heteromyid,6,1992-06-23,1992-06-24,2,NA,NA,49
144953,20,112,13.6,0,CHPE,Chaetodipus,penicillatus,Heteromyid,6,1992-06-23,1992-06-24,2,NA,NA,49
144954,20,112,15.6,0,CHPE,Chaetodipus,penicillatus,Heteromyid,6,1992-06-23,1992-06-24,2,NA,NA,49
144955,20,112,13.9,0,CHPE,Chaetodipus,penicillatus,Heteromyid,6,1992-06-23,1992-06-24,2,NA,NA,49
144956,20,112,19.2,0,CHPE,Chaetodipus,penicillatus,Heteromyid,6,1992-06-23,1992-06-24,2,NA,NA,49
144957,20,112,12.7,0,CHPE,Chaetodipus,penicillatus,Heteromyid,6,1992-06-23,1992-06-24,2,NA,NA,49
144958,20,112,22,0,CHPE,Chaetodipus,penicillatus,Heteromyid,6,1992-06-23,1992-06-24,2,NA,NA,49
144959,20,112,12.8,0,CHPE,Chaetodipus,penicillatus,Heteromyid,6,1992-06-23,1992-06-24,2,NA,NA,49
144960,20,112,22.5,0,CHPE,Chaetodipus,penicillatus,Heteromyid,6,1992-06-23,1992-06-24,2,NA,NA,49
144961,20,112,15.8,0,CHPE,Chaetodipus,penicillatus,Heteromyid,6,1992-06-23,1992-06-24,2,NA,NA,49
144962,20,112,17.2,0,CHPE,Chaetodipus,penicillatus,Heteromyid,6,1992-06-23,1992-06-24,2,NA,NA,49
144963,19,112,14.1,0,CHPE,Chaetodipus,penicillatus,Heteromyid,6,1992-06-23,1992-06-24,1,NA,NA,49
144964,19,112,9,0,CHPE,Chaetodipus,penicillatus,Heteromyid,6,1992-06-23,1992-06-24,1,NA,NA,49
144965,19,117,110,0,NEAL,Neotoma,albigula,Muridae,6,1992-06-23,1992-06-24,1,NA,NA,49
144966,19,112,NA,1,CHPE,Chaetodipus,penicillatus,Heteromyid,6,1992-06-23,1992-06-24,1,NA,NA,49
144967,19,112,20.7,0,CHPE,Chaetodipus,penicillatus,Heteromyid,6,1992-06-23,1992-06-24,1,NA,NA,49
144968,19,115,28.7,0,DIME,Dipodomys,merriami,Heteromyid,6,1992-06-23,1992-06-24,1,NA,NA,49
144969,19,112,NA,1,CHPE,Chaetodipus,penicillatus,Heteromyid,6,1992-06-23,1992-06-24,1,NA,NA,49
144970,19,112,NA,1,CHPE,Chaetodipus,penicillatus,Heteromyid,6,1992-06-23,1992-06-24,1,NA,NA,49
144971,19,115,38.7,0,DIME,Dipodomys,merriami,Heteromyid,6,1992-06-23,1992-06-24,1,NA,NA,49
144972,19,112,NA,1,CHPE,Chaetodipus,penicillatus,Heteromyid,6,1992-06-23,1992-06-24,1,NA,NA,49
144973,19,112,12.1,0,CHPE,Chaetodipus,penicillatus,Heteromyid,6,1992-06-23,1992-06-24,1,NA,NA,49
144974,19,112,NA,1,CHPE,Chaetodipus,penicillatus,Heteromyid,6,1992-06-23,1992-06-24,1,NA,NA,49
144975,19,112,NA,1,CHPE,Chaetodipus,penicillatus,Heteromyid,6,1992-06-23,1992-06-24,1,NA,NA,49
144976,19,112,14.2,0,CHPE,Chaetodipus,penicillatus,Heteromyid,6,1992-06-23,1992-06-24,1,NA,NA,49
144977,19,115,20.2,0,DIME,Dipodomys,merriami,Heteromyid,6,1992-06-23,1992-06-24,1,NA,NA,49
144978,19,115,NA,1,DIME,Dipodomys,merriami,Heteromyid,6,1992-06-23,1992-06-24,1,NA,NA,49
144979,19,112,13,0,CHPE,Chaetodipus,penicillatus,Heteromyid,6,1992-06-23,1992-06-24,1,NA,NA,49
144980,19,112,NA,1,CHPE,Chaetodipus,penicillatus,Heteromyid,6,1992-06-23,1992-06-24,1,NA,NA,49
144981,19,112,13.1,0,CHPE,Chaetodipus,penicillatus,Heteromyid,6,1992-06-23,1992-06-24,1,NA,NA,49
144982,19,117,NA,1,NEAL,Neotoma,albigula,Muridae,6,1992-06-23,1992-06-24,1,NA,NA,49
144983,19,115,22.8,0,DIME,Dipodomys,merriami,Heteromyid,6,1992-06-23,1992-06-24,1,NA,NA,49
144984,19,112,21.9,0,CHPE,Chaetodipus,penicillatus,Heteromyid,6,1992-06-23,1992-06-24,1,NA,NA,49
144985,19,112,18.1,0,CHPE,Chaetodipus,penicillatus,Heteromyid,6,1992-06-23,1992-06-24,1,NA,NA,49
144986,19,112,17.8,0,CHPE,Chaetodipus,penicillatus,Heteromyid,6,1992-06-23,1992-06-24,1,NA,NA,49
144987,19,112,26.2,0,CHPE,Chaetodipus,penicillatus,Heteromyid,6,1992-06-23,1992-06-24,1,NA,NA,49
144988,19,115,35.2,0,DIME,Dipodomys,merriami,Heteromyid,6,1992-06-23,1992-06-24,1,NA,NA,49
144989,19,112,14.5,0,CHPE,Chaetodipus,penicillatus,Heteromyid,6,1992-06-23,1992-06-24,1,NA,NA,49
144990,19,112,14.8,0,CHPE,Chaetodipus,penicillatus,Heteromyid,6,1992-06-23,1992-06-24,1,NA,NA,49
144991,19,112,NA,1,CHPE,Chaetodipus,penicillatus,Heteromyid,6,1992-06-23,1992-06-24,1,NA,NA,49
144992,19,115,40.8,0,DIME,Dipodomys,merriami,Heteromyid,6,1992-06-23,1992-06-24,1,NA,NA,49
144993,19,112,12.7,0,CHPE,Chaetodipus,penicillatus,Heteromyid,6,1992-06-23,1992-06-24,1,NA,NA,49
144994,19,115,NA,1,DIME,Dipodomys,merriami,Heteromyid,6,1992-06-23,1992-06-24,1,NA,NA,49
144995,20,112,NA,1,CHPE,Chaetodipus,penicillatus,Heteromyid,6,1992-06-23,1992-06-24,2,NA,NA,49
144996,20,112,14.6,0,CHPE,Chaetodipus,penicillatus,Heteromyid,6,1992-06-23,1992-06-24,2,NA,NA,49
