month,day,year,plot,period,treatment,species,weight,scientific_name,taxa,common_name,avg_weight_g,effort
8,20,1977,18,2,control,DM,42,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
8,20,1977,18,2,control,DM,43,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
8,20,1977,23,2,control,DM,46,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
8,20,1977,12,2,control,DM,41,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
8,20,1977,18,2,control,DM,41,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
8,20,1977,5,2,control,DM,40,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
8,20,1977,11,2,control,DM,45,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
8,20,1977,5,2,control,DS,NA,Dipodomys spectabilis,Rodent,Banner-tailed kangaroo rat,119.9275604,49
8,20,1977,5,2,control,DM,46,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
8,20,1977,23,2,control,DM,40,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
8,20,1977,18,2,control,DM,30,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
8,20,1977,11,2,control,DS,NA,Dipodomys spectabilis,Rodent,Banner-tailed kangaroo rat,119.9275604,49
8,20,1977,19,2,control,DM,39,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
8,20,1977,12,2,control,NA,NA,Neotoma albigula,Rodent,White-throated woodrat,162.5347738,49
8,20,1977,18,2,control,NA,NA,Neotoma albigula,Rodent,White-throated woodrat,162.5347738,49
8,20,1977,11,2,control,PP,NA,Chaetodipus penicillatus,Rodent,Desert pocket mouse,17.61851292,49
8,20,1977,6,2,control,DM,34,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
8,20,1977,10,2,control,DS,NA,Dipodomys spectabilis,Rodent,Banner-tailed kangaroo rat,119.9275604,49
8,20,1977,11,2,control,DM,42,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
8,20,1977,23,2,control,DM,42,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
8,20,1977,5,2,control,PF,8,Perognathus flavus,Rodent,Silky pocket mouse,7.899749373,49
8,21,1977,15,2,control,DM,NA,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
8,21,1977,21,2,control,DM,NA,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
8,21,1977,13,2,control,DM,31,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
8,21,1977,17,2,control,DM,NA,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
8,21,1977,20,2,control,DM,NA,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
8,21,1977,20,2,control,DM,NA,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
8,21,1977,15,2,control,NA,NA,Neotoma albigula,Rodent,White-throated woodrat,162.5347738,49
8,21,1977,22,2,control,DM,NA,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
8,21,1977,17,2,control,DM,NA,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
8,21,1977,14,2,control,DM,NA,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
8,21,1977,22,2,control,DM,NA,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
8,21,1977,20,2,control,DM,NA,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
8,21,1977,14,2,control,DM,NA,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
8,21,1977,15,2,control,DM,NA,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
8,21,1977,14,2,control,DM,NA,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
8,21,1977,16,2,control,DM,NA,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
8,21,1977,22,2,control,DM,NA,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
8,21,1977,22,2,control,DM,NA,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
8,21,1977,15,2,control,DM,NA,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
8,21,1977,17,2,control,DS,NA,Dipodomys spectabilis,Rodent,Banner-tailed kangaroo rat,119.9275604,49
8,21,1977,15,2,control,DM,NA,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
8,21,1977,13,2,control,PF,NA,Perognathus flavus,Rodent,Silky pocket mouse,7.899749373,49
8,21,1977,20,2,control,DM,NA,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
8,21,1977,22,2,control,DM,NA,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
8,21,1977,14,2,control,PF,NA,Perognathus flavus,Rodent,Silky pocket mouse,7.899749373,49
8,21,1977,20,2,control,DM,NA,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
8,21,1977,16,2,control,DM,NA,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
8,21,1977,17,2,control,DM,NA,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
8,21,1977,15,2,control,DM,NA,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
8,21,1977,15,2,control,DS,NA,Dipodomys spectabilis,Rodent,Banner-tailed kangaroo rat,119.9275604,49
8,21,1977,13,2,control,DM,NA,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
8,21,1977,13,2,control,DM,40,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
8,21,1977,13,2,control,DM,NA,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
8,21,1977,14,2,control,DM,NA,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
8,21,1977,20,2,control,DS,NA,Dipodomys spectabilis,Rodent,Banner-tailed kangaroo rat,119.9275604,49
8,21,1977,21,2,control,DM,NA,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
8,21,1977,13,2,control,DM,NA,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
8,21,1977,14,2,control,DM,NA,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
8,21,1977,16,2,control,DS,NA,Dipodomys spectabilis,Rodent,Banner-tailed kangaroo rat,119.9275604,49
8,21,1977,20,2,control,DS,NA,Dipodomys spectabilis,Rodent,Banner-tailed kangaroo rat,119.9275604,49
8,21,1977,20,2,control,DS,NA,Dipodomys spectabilis,Rodent,Banner-tailed kangaroo rat,119.9275604,49
8,21,1977,21,2,control,DM,NA,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
9,11,1977,20,3,control,DM,37,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
9,11,1977,22,3,control,DM,48,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
9,11,1977,5,3,control,DS,NA,Dipodomys spectabilis,Rodent,Banner-tailed kangaroo rat,119.9275604,49
9,11,1977,21,3,control,DM,NA,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
9,11,1977,5,3,control,DM,42,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
9,11,1977,6,3,control,DM,45,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
9,11,1977,12,3,control,PP,16,Chaetodipus penicillatus,Rodent,Desert pocket mouse,17.61851292,49
9,11,1977,22,3,control,DM,36,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
9,11,1977,19,3,control,DS,NA,Dipodomys spectabilis,Rodent,Banner-tailed kangaroo rat,119.9275604,49
9,11,1977,6,3,control,DM,42,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
9,11,1977,12,3,control,DM,44,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
9,11,1977,5,3,control,DM,NA,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
9,11,1977,20,3,control,DM,41,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
9,11,1977,12,3,control,NA,NA,Neotoma albigula,Rodent,White-throated woodrat,162.5347738,49
9,11,1977,22,3,control,PF,8,Perognathus flavus,Rodent,Silky pocket mouse,7.899749373,49
9,11,1977,12,3,control,DM,40,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
9,11,1977,12,3,control,DM,34,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
9,11,1977,19,3,control,DM,40,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
9,11,1977,12,3,control,DS,NA,Dipodomys spectabilis,Rodent,Banner-tailed kangaroo rat,119.9275604,49
9,11,1977,18,3,control,DM,44,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
9,11,1977,12,3,control,DM,44,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
9,11,1977,6,3,control,DM,36,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
9,11,1977,20,3,control,DM,33,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
9,11,1977,21,3,control,DS,NA,Dipodomys spectabilis,Rodent,Banner-tailed kangaroo rat,119.9275604,49
9,11,1977,5,3,control,DM,46,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
9,11,1977,20,3,control,DS,NA,Dipodomys spectabilis,Rodent,Banner-tailed kangaroo rat,119.9275604,49
9,11,1977,19,3,control,DM,35,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
9,12,1977,17,3,control,DM,46,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
9,12,1977,14,3,control,DS,NA,Dipodomys spectabilis,Rodent,Banner-tailed kangaroo rat,119.9275604,49
9,12,1977,17,3,control,DM,37,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
9,12,1977,7,3,control,DM,34,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
9,12,1977,17,3,control,DS,NA,Dipodomys spectabilis,Rodent,Banner-tailed kangaroo rat,119.9275604,49
9,12,1977,4,3,control,DM,45,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
9,12,1977,7,3,control,PE,NA,Peromyscus eremicus,Rodent,Cactus mouse,21.98281643,49
9,12,1977,11,3,control,NA,NA,Neotoma albigula,Rodent,White-throated woodrat,162.5347738,49
9,12,1977,4,3,control,DS,NA,Dipodomys spectabilis,Rodent,Banner-tailed kangaroo rat,119.9275604,49
9,12,1977,7,3,control,PF,7,Perognathus flavus,Rodent,Silky pocket mouse,7.899749373,49
9,12,1977,14,3,control,DM,51,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
9,12,1977,4,3,control,DM,39,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
9,12,1977,11,3,control,DM,29,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
9,12,1977,17,3,control,DS,NA,Dipodomys spectabilis,Rodent,Banner-tailed kangaroo rat,119.9275604,49
9,12,1977,10,3,control,DS,NA,Dipodomys spectabilis,Rodent,Banner-tailed kangaroo rat,119.9275604,49
9,12,1977,17,3,control,DM,48,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
9,12,1977,11,3,control,DM,46,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
9,12,1977,16,3,control,DM,41,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
9,12,1977,16,3,control,DS,NA,Dipodomys spectabilis,Rodent,Banner-tailed kangaroo rat,119.9275604,49
9,12,1977,23,3,control,DS,NA,Dipodomys spectabilis,Rodent,Banner-tailed kangaroo rat,119.9275604,49
9,12,1977,16,3,control,DS,NA,Dipodomys spectabilis,Rodent,Banner-tailed kangaroo rat,119.9275604,49
9,12,1977,14,3,control,DM,45,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
9,12,1977,17,3,control,DM,42,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
9,12,1977,11,3,control,DM,53,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
9,12,1977,4,3,control,DS,NA,Dipodomys spectabilis,Rodent,Banner-tailed kangaroo rat,119.9275604,49
9,12,1977,16,3,control,PF,NA,Perognathus flavus,Rodent,Silky pocket mouse,7.899749373,49
9,12,1977,14,3,control,DM,49,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
9,12,1977,17,3,control,NA,NA,Neotoma albigula,Rodent,White-throated woodrat,162.5347738,49
9,12,1977,14,3,control,DM,46,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
9,12,1977,4,3,control,PF,9,Perognathus flavus,Rodent,Silky pocket mouse,7.899749373,49
9,13,1977,3,3,control,PP,15,Chaetodipus penicillatus,Rodent,Desert pocket mouse,17.61851292,49
9,13,1977,1,3,control,PF,4,Perognathus flavus,Rodent,Silky pocket mouse,7.899749373,49
9,13,1977,13,3,control,DM,48,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
9,13,1977,2,3,control,DS,NA,Dipodomys spectabilis,Rodent,Banner-tailed kangaroo rat,119.9275604,49
9,13,1977,3,3,control,DM,NA,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
9,13,1977,1,3,control,DS,NA,Dipodomys spectabilis,Rodent,Banner-tailed kangaroo rat,119.9275604,49
9,13,1977,8,3,control,DS,NA,Dipodomys spectabilis,Rodent,Banner-tailed kangaroo rat,119.9275604,49
9,13,1977,2,3,control,NA,NA,Neotoma albigula,Rodent,White-throated woodrat,162.5347738,49
9,13,1977,15,3,control,DM,NA,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
9,13,1977,2,3,control,DM,51,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
9,13,1977,15,3,control,DM,NA,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
9,13,1977,9,3,control,DM,50,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
9,13,1977,13,3,control,DM,44,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
9,13,1977,15,3,control,DM,NA,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
9,13,1977,15,3,control,DS,NA,Dipodomys spectabilis,Rodent,Banner-tailed kangaroo rat,119.9275604,49
9,13,1977,9,3,control,DS,NA,Dipodomys spectabilis,Rodent,Banner-tailed kangaroo rat,119.9275604,49
9,13,1977,2,3,control,DM,44,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
9,13,1977,9,3,control,DM,45,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
9,13,1977,13,3,control,DM,45,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
9,13,1977,9,3,control,DS,NA,Dipodomys spectabilis,Rodent,Banner-tailed kangaroo rat,119.9275604,49
9,13,1977,9,3,control,DS,NA,Dipodomys spectabilis,Rodent,Banner-tailed kangaroo rat,119.9275604,49
9,13,1977,2,3,control,PE,19,Peromyscus eremicus,Rodent,Cactus mouse,21.98281643,49
9,13,1977,1,3,control,DS,NA,Dipodomys spectabilis,Rodent,Banner-tailed kangaroo rat,119.9275604,49
9,13,1977,9,3,control,DS,NA,Dipodomys spectabilis,Rodent,Banner-tailed kangaroo rat,119.9275604,49
9,13,1977,3,3,control,DS,NA,Dipodomys spectabilis,Rodent,Banner-tailed kangaroo rat,119.9275604,49
10,16,1977,6,4,control,DM,44,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
10,16,1977,22,4,control,DM,42,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
10,16,1977,2,4,control,DM,39,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
10,16,1977,13,4,control,DM,47,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
10,16,1977,2,4,control,DS,NA,Dipodomys spectabilis,Rodent,Banner-tailed kangaroo rat,119.9275604,49
10,16,1977,22,4,control,OT,21,Onychomys torridus,Rodent,Southern grasshopper mouse,24.05599577,49
10,16,1977,13,4,control,DM,42,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
10,16,1977,18,4,control,DS,NA,Dipodomys spectabilis,Rodent,Banner-tailed kangaroo rat,119.9275604,49
10,16,1977,2,4,control,DM,49,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
10,16,1977,6,4,control,DS,NA,Dipodomys spectabilis,Rodent,Banner-tailed kangaroo rat,119.9275604,49
10,16,1977,20,4,control,DM,39,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
10,16,1977,20,4,control,DM,43,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
10,16,1977,18,4,control,DM,50,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
10,16,1977,6,4,control,DM,41,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
10,16,1977,2,4,control,DM,47,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
10,16,1977,18,4,control,DM,37,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
10,16,1977,2,4,control,DM,41,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
10,16,1977,22,4,control,DM,36,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
10,16,1977,6,4,control,DM,45,Dipodomys merriami,Rodent,Merriam's kangaroo rat,43.52721657,49
