year,month,period,treatment,species,abundance,ntraps,nplots,scientific_name,taxa,common_name,effort,abund_per_trapnight
1979,10,28,control,OL,0,735,15,Onychomys leucogaster,Rodent,Northern Grasshopper Mouse,49,0
1979,10,28,control,OT,6,735,15,Onychomys torridus,Rodent,Southern grasshopper mouse,49,0.12244897959183673
1979,10,28,control,PB,0,735,15,Chaetodipus baileyi,Rodent,Bailey's pocket mouse,49,0
1979,10,28,control,PE,1,735,15,Peromyscus eremicus,Rodent,Cactus mouse,49,0.02040816326530612
1979,10,28,control,PF,0,735,15,Perognathus flavus,Rodent,Silky pocket mouse,49,0
1979,10,28,control,PH,0,735,15,Chaetodipus hispidus,Rodent,Hispid pocket mouse,49,0
1979,10,28,control,PI,0,735,15,Chaetodipus intermedius,Rodent,Rock pocket mouse,49,0
1979,10,28,control,PL,0,735,15,Peromyscus leucopus,Rodent,White-footed mouse,49,0
1979,10,28,control,PM,0,735,15,Peromyscus maniculatus,Rodent,Deer Mouse,49,0
1979,10,28,control,PP,1,735,15,Chaetodipus penicillatus,Rodent,Desert pocket mouse,49,0.02040816326530612
1979,10,28,control,RF,0,735,15,Reithrodontomys fulvescens,Rodent,Fulvous harvest mouse,49,0
1979,10,28,control,RM,0,735,15,Reithrodontomys megalotis,Rodent,Western harvest mouse,49,0
1979,10,28,control,RO,0,735,15,Reithrodontomys montanus,Rodent,Plains harvest mouse,49,0
1979,10,28,control,SF,0,735,15,Sigmodon fulviventer,Rodent,Tawny-bellied cotton rat,49,0
1979,10,28,control,SH,0,735,15,Sigmodon hispidus,Rodent,Hispid cotton rat,49,0
1979,10,28,control,SO,0,735,15,Sigmodon ochrognathus,Rodent,Yellow nosed cotton rat,49,0
1979,11,29,control,BA,0,735,15,Baiomys taylori,Rodent,Northern pygmy mouse,49,0
1979,11,29,control,DM,20,735,15,Dipodomys merriami,Rodent,Merriam's kangaroo rat,49,0.40816326530612246
1979,11,29,control,DO,3,735,15,Dipodomys ordii,Rodent,Ord's kangaroo rat,49,0.061224489795918366
1979,11,29,control,DS,11,735,15,Dipodomys spectabilis,Rodent,Banner-tailed kangaroo rat,49,0.22448979591836735
1979,11,29,control,NA,4,735,15,Neotoma albigula,Rodent,White-throated woodrat,49,0.08163265306122448
1979,11,29,control,OL,9,735,15,Onychomys leucogaster,Rodent,Northern Grasshopper Mouse,49,0.1836734693877551
1979,11,29,control,OT,7,735,15,Onychomys torridus,Rodent,Southern grasshopper mouse,49,0.14285714285714285
1979,11,29,control,PB,0,735,15,Chaetodipus baileyi,Rodent,Bailey's pocket mouse,49,0
1979,11,29,control,PE,1,735,15,Peromyscus eremicus,Rodent,Cactus mouse,49,0.02040816326530612
1979,11,29,control,PF,1,735,15,Perognathus flavus,Rodent,Silky pocket mouse,49,0.02040816326530612
1979,11,29,control,PH,0,735,15,Chaetodipus hispidus,Rodent,Hispid pocket mouse,49,0
1979,11,29,control,PI,0,735,15,Chaetodipus intermedius,Rodent,Rock pocket mouse,49,0
1979,11,29,control,PL,0,735,15,Peromyscus leucopus,Rodent,White-footed mouse,49,0
1979,11,29,control,PM,1,735,15,Peromyscus maniculatus,Rodent,Deer Mouse,49,0.02040816326530612
1979,11,29,control,PP,1,735,15,Chaetodipus penicillatus,Rodent,Desert pocket mouse,49,0.02040816326530612
1979,11,29,control,RF,0,735,15,Reithrodontomys fulvescens,Rodent,Fulvous harvest mouse,49,0
1979,11,29,control,RM,3,735,15,Reithrodontomys megalotis,Rodent,Western harvest mouse,49,0.061224489795918366
1979,11,29,control,RO,0,735,15,Reithrodontomys montanus,Rodent,Plains harvest mouse,49,0
1979,11,29,control,SF,0,735,15,Sigmodon fulviventer,Rodent,Tawny-bellied cotton rat,49,0
1979,11,29,control,SH,0,735,15,Sigmodon hispidus,Rodent,Hispid cotton rat,49,0
1979,11,29,control,SO,0,735,15,Sigmodon ochrognathus,Rodent,Yellow nosed cotton rat,49,0
1980,1,30,control,BA,0,735,15,Baiomys taylori,Rodent,Northern pygmy mouse,49,0
1980,1,30,control,DM,31,735,15,Dipodomys merriami,Rodent,Merriam's kangaroo rat,49,0.6326530612244898
1980,1,30,control,DO,7,735,15,Dipodomys ordii,Rodent,Ord's kangaroo rat,49,0.14285714285714285
1980,1,30,control,DS,11,735,15,Dipodomys spectabilis,Rodent,Banner-tailed kangaroo rat,49,0.22448979591836735
1980,1,30,control,NA,5,735,15,Neotoma albigula,Rodent,White-throated woodrat,49,0.10204081632653061
1980,1,30,control,OL,12,735,15,Onychomys leucogaster,Rodent,Northern Grasshopper Mouse,49,0.24489795918367346
1980,1,30,control,OT,5,735,15,Onychomys torridus,Rodent,Southern grasshopper mouse,49,0.10204081632653061
1980,1,30,control,PB,0,735,15,Chaetodipus baileyi,Rodent,Bailey's pocket mouse,49,0
1980,1,30,control,PE,0,735,15,Peromyscus eremicus,Rodent,Cactus mouse,49,0
1980,1,30,control,PF,3,735,15,Perognathus flavus,Rodent,Silky pocket mouse,49,0.061224489795918366
1980,1,30,control,PH,0,735,15,Chaetodipus hispidus,Rodent,Hispid pocket mouse,49,0
1980,1,30,control,PI,0,735,15,Chaetodipus intermedius,Rodent,Rock pocket mouse,49,0
1980,1,30,control,PL,0,735,15,Peromyscus leucopus,Rodent,White-footed mouse,49,0
1980,1,30,control,PM,0,735,15,Peromyscus maniculatus,Rodent,Deer Mouse,49,0
1980,1,30,control,PP,0,735,15,Chaetodipus penicillatus,Rodent,Desert pocket mouse,49,0
1980,1,30,control,RF,0,735,15,Reithrodontomys fulvescens,Rodent,Fulvous harvest mouse,49,0
1980,1,30,control,RM,1,735,15,Reithrodontomys megalotis,Rodent,Western harvest mouse,49,0.02040816326530612
1980,1,30,control,RO,0,735,15,Reithrodontomys montanus,Rodent,Plains harvest mouse,49,0
1980,1,30,control,SF,0,735,15,Sigmodon fulviventer,Rodent,Tawny-bellied cotton rat,49,0
1980,1,30,control,SH,0,735,15,Sigmodon hispidus,Rodent,Hispid cotton rat,49,0
1980,1,30,control,SO,0,735,15,Sigmodon ochrognathus,Rodent,Yellow nosed cotton rat,49,0
1980,2,31,control,BA,0,686,14,Baiomys taylori,Rodent,Northern pygmy mouse,49,0
1980,2,31,control,DM,15,686,14,Dipodomys merriami,Rodent,Merriam's kangaroo rat,49,0.30612244897959184
1980,2,31,control,DO,6,686,14,Dipodomys ordii,Rodent,Ord's kangaroo rat,49,0.12244897959183673
1980,2,31,control,DS,9,686,14,Dipodomys spectabilis,Rodent,Banner-tailed kangaroo rat,49,0.1836734693877551
1980,2,31,control,NA,1,686,14,Neotoma albigula,Rodent,White-throated woodrat,49,0.02040816326530612
1980,2,31,control,OL,8,686,14,Onychomys leucogaster,Rodent,Northern Grasshopper Mouse,49,0.16326530612244897
1980,2,31,control,OT,1,686,14,Onychomys torridus,Rodent,Southern grasshopper mouse,49,0.02040816326530612
1980,2,31,control,PB,0,686,14,Chaetodipus baileyi,Rodent,Bailey's pocket mouse,49,0
1980,2,31,control,PE,1,686,14,Peromyscus eremicus,Rodent,Cactus mouse,49,0.02040816326530612
1980,2,31,control,PF,2,686,14,Perognathus flavus,Rodent,Silky pocket mouse,49,0.04081632653061224
1980,2,31,control,PH,0,686,14,Chaetodipus hispidus,Rodent,Hispid pocket mouse,49,0
1980,2,31,control,PI,0,686,14,Chaetodipus intermedius,Rodent,Rock pocket mouse,49,0
1980,2,31,control,PL,0,686,14,Peromyscus leucopus,Rodent,White-footed mouse,49,0
1980,2,31,control,PM,0,686,14,Peromyscus maniculatus,Rodent,Deer Mouse,49,0
1980,2,31,control,PP,0,686,14,Chaetodipus penicillatus,Rodent,Desert pocket mouse,49,0
1980,2,31,control,RF,0,686,14,Reithrodontomys fulvescens,Rodent,Fulvous harvest mouse,49,0
1980,2,31,control,RM,4,686,14,Reithrodontomys megalotis,Rodent,Western harvest mouse,49,0.08163265306122448
1980,2,31,control,RO,0,686,14,Reithrodontomys montanus,Rodent,Plains harvest mouse,49,0
1980,2,31,control,SF,0,686,14,Sigmodon fulviventer,Rodent,Tawny-bellied cotton rat,49,0
1980,2,31,control,SH,0,686,14,Sigmodon hispidus,Rodent,Hispid cotton rat,49,0
1980,2,31,control,SO,0,686,14,Sigmodon ochrognathus,Rodent,Yellow nosed cotton rat,49,0
1980,3,32,control,BA,0,686,14,Baiomys taylori,Rodent,Northern pygmy mouse,49,0
1980,3,32,control,DM,18,686,14,Dipodomys merriami,Rodent,Merriam's kangaroo rat,49,0.3673469387755102
1980,3,32,control,DO,1,686,14,Dipodomys ordii,Rodent,Ord's kangaroo rat,49,0.02040816326530612
1980,3,32,control,DS,21,686,14,Dipodomys spectabilis,Rodent,Banner-tailed kangaroo rat,49,0.42857142857142855
1980,3,32,control,NA,1,686,14,Neotoma albigula,Rodent,White-throated woodrat,49,0.02040816326530612
1980,3,32,control,OL,5,686,14,Onychomys leucogaster,Rodent,Northern Grasshopper Mouse,49,0.10204081632653061
1980,3,32,control,OT,2,686,14,Onychomys torridus,Rodent,Southern grasshopper mouse,49,0.04081632653061224
1980,3,32,control,PB,0,686,14,Chaetodipus baileyi,Rodent,Bailey's pocket mouse,49,0
1980,3,32,control,PE,0,686,14,Peromyscus eremicus,Rodent,Cactus mouse,49,0
1980,3,32,control,PF,5,686,14,Perognathus flavus,Rodent,Silky pocket mouse,49,0.10204081632653061
1980,3,32,control,PH,0,686,14,Chaetodipus hispidus,Rodent,Hispid pocket mouse,49,0
1980,3,32,control,PI,0,686,14,Chaetodipus intermedius,Rodent,Rock pocket mouse,49,0
1980,3,32,control,PL,0,686,14,Peromyscus leucopus,Rodent,White-footed mouse,49,0
1980,3,32,control,PM,0,686,14,Peromyscus maniculatus,Rodent,Deer Mouse,49,0
1980,3,32,control,PP,0,686,14,Chaetodipus penicillatus,Rodent,Desert pocket mouse,49,0
1980,3,32,control,RF,0,686,14,Reithrodontomys fulvescens,Rodent,Fulvous harvest mouse,49,0
1980,3,32,control,RM,2,686,14,Reithrodontomys megalotis,Rodent,Western harvest mouse,49,0.04081632653061224
1980,3,32,control,RO,0,686,14,Reithrodontomys montanus,Rodent,Plains harvest mouse,49,0
1980,3,32,control,SF,0,686,14,Sigmodon fulviventer,Rodent,Tawny-bellied cotton rat,49,0
1980,3,32,control,SH,0,686,14,Sigmodon hispidus,Rodent,Hispid cotton rat,49,0
1980,3,32,control,SO,0,686,14,Sigmodon ochrognathus,Rodent,Yellow nosed cotton rat,49,0
1980,4,33,control,BA,0,686,14,Baiomys taylori,Rodent,Northern pygmy mouse,49,0
1980,4,33,control,DM,17,686,14,Dipodomys merriami,Rodent,Merriam's kangaroo rat,49,0.3469387755102041
1980,4,33,control,DO,2,686,14,Dipodomys ordii,Rodent,Ord's kangaroo rat,49,0.04081632653061224
1980,4,33,control,DS,25,686,14,Dipodomys spectabilis,Rodent,Banner-tailed kangaroo rat,49,0.5102040816326531
1980,4,33,control,NA,1,686,14,Neotoma albigula,Rodent,White-throated woodrat,49,0.02040816326530612
1980,4,33,control,OL,5,686,14,Onychomys leucogaster,Rodent,Northern Grasshopper Mouse,49,0.10204081632653061
1980,4,33,control,OT,1,686,14,Onychomys torridus,Rodent,Southern grasshopper mouse,49,0.02040816326530612
1980,4,33,control,PB,0,686,14,Chaetodipus baileyi,Rodent,Bailey's pocket mouse,49,0
1980,4,33,control,PE,0,686,14,Peromyscus eremicus,Rodent,Cactus mouse,49,0
1980,4,33,control,PF,6,686,14,Perognathus flavus,Rodent,Silky pocket mouse,49,0.12244897959183673
1980,4,33,control,PH,0,686,14,Chaetodipus hispidus,Rodent,Hispid pocket mouse,49,0
1980,4,33,control,PI,0,686,14,Chaetodipus intermedius,Rodent,Rock pocket mouse,49,0
1980,4,33,control,PL,0,686,14,Peromyscus leucopus,Rodent,White-footed mouse,49,0
1980,4,33,control,PM,0,686,14,Peromyscus maniculatus,Rodent,Deer Mouse,49,0
1980,4,33,control,PP,1,686,14,Chaetodipus penicillatus,Rodent,Desert pocket mouse,49,0.02040816326530612
1980,4,33,control,RF,0,686,14,Reithrodontomys fulvescens,Rodent,Fulvous harvest mouse,49,0
1980,4,33,control,RM,0,686,14,Reithrodontomys megalotis,Rodent,Western harvest mouse,49,0
1980,4,33,control,RO,0,686,14,Reithrodontomys montanus,Rodent,Plains harvest mouse,49,0
1980,4,33,control,SF,0,686,14,Sigmodon fulviventer,Rodent,Tawny-bellied cotton rat,49,0
1980,4,33,control,SH,0,686,14,Sigmodon hispidus,Rodent,Hispid cotton rat,49,0
1980,4,33,control,SO,0,686,14,Sigmodon ochrognathus,Rodent,Yellow nosed cotton rat,49,0
1980,5,34,control,BA,0,686,14,Baiomys taylori,Rodent,Northern pygmy mouse,49,0
1980,5,34,control,DM,15,686,14,Dipodomys merriami,Rodent,Merriam's kangaroo rat,49,0.30612244897959184
1980,5,34,control,DO,3,686,14,Dipodomys ordii,Rodent,Ord's kangaroo rat,49,0.061224489795918366
1980,5,34,control,DS,34,686,14,Dipodomys spectabilis,Rodent,Banner-tailed kangaroo rat,49,0.6938775510204082
1980,5,34,control,NA,8,686,14,Neotoma albigula,Rodent,White-throated woodrat,49,0.16326530612244897
1980,5,34,control,OL,3,686,14,Onychomys leucogaster,Rodent,Northern Grasshopper Mouse,49,0.061224489795918366
1980,5,34,control,OT,1,686,14,Onychomys torridus,Rodent,Southern grasshopper mouse,49,0.02040816326530612
1980,5,34,control,PB,0,686,14,Chaetodipus baileyi,Rodent,Bailey's pocket mouse,49,0
1980,5,34,control,PE,0,686,14,Peromyscus eremicus,Rodent,Cactus mouse,49,0
1980,5,34,control,PF,2,686,14,Perognathus flavus,Rodent,Silky pocket mouse,49,0.04081632653061224
1980,5,34,control,PH,0,686,14,Chaetodipus hispidus,Rodent,Hispid pocket mouse,49,0
1980,5,34,control,PI,0,686,14,Chaetodipus intermedius,Rodent,Rock pocket mouse,49,0
1980,5,34,control,PL,0,686,14,Peromyscus leucopus,Rodent,White-footed mouse,49,0
1980,5,34,control,PM,0,686,14,Peromyscus maniculatus,Rodent,Deer Mouse,49,0
1980,5,34,control,PP,2,686,14,Chaetodipus penicillatus,Rodent,Desert pocket mouse,49,0.04081632653061224
1980,5,34,control,RF,0,686,14,Reithrodontomys fulvescens,Rodent,Fulvous harvest mouse,49,0
1980,5,34,control,RM,0,686,14,Reithrodontomys megalotis,Rodent,Western harvest mouse,49,0
1980,5,34,control,RO,0,686,14,Reithrodontomys montanus,Rodent,Plains harvest mouse,49,0
1980,5,34,control,SF,0,686,14,Sigmodon fulviventer,Rodent,Tawny-bellied cotton rat,49,0
1980,5,34,control,SH,0,686,14,Sigmodon hispidus,Rodent,Hispid cotton rat,49,0
1980,5,34,control,SO,0,686,14,Sigmodon ochrognathus,Rodent,Yellow nosed cotton rat,49,0
1980,6,35,control,BA,0,686,14,Baiomys taylori,Rodent,Northern pygmy mouse,49,0
1980,6,35,control,DM,18,686,14,Dipodomys merriami,Rodent,Merriam's kangaroo rat,49,0.3673469387755102
1980,6,35,control,DO,6,686,14,Dipodomys ordii,Rodent,Ord's kangaroo rat,49,0.12244897959183673
1980,6,35,control,DS,30,686,14,Dipodomys spectabilis,Rodent,Banner-tailed kangaroo rat,49,0.6122448979591837
1980,6,35,control,NA,2,686,14,Neotoma albigula,Rodent,White-throated woodrat,49,0.04081632653061224
1980,6,35,control,OL,1,686,14,Onychomys leucogaster,Rodent,Northern Grasshopper Mouse,49,0.02040816326530612
1980,6,35,control,OT,2,686,14,Onychomys torridus,Rodent,Southern grasshopper mouse,49,0.04081632653061224
1980,6,35,control,PB,0,686,14,Chaetodipus baileyi,Rodent,Bailey's pocket mouse,49,0
1980,6,35,control,PE,0,686,14,Peromyscus eremicus,Rodent,Cactus mouse,49,0
1980,6,35,control,PF,3,686,14,Perognathus flavus,Rodent,Silky pocket mouse,49,0.061224489795918366
1980,6,35,control,PH,0,686,14,Chaetodipus hispidus,Rodent,Hispid pocket mouse,49,0
1980,6,35,control,PI,0,686,14,Chaetodipus intermedius,Rodent,Rock pocket mouse,49,0
1980,6,35,control,PL,0,686,14,Peromyscus leucopus,Rodent,White-footed mouse,49,0
1980,6,35,control,PM,0,686,14,Peromyscus maniculatus,Rodent,Deer Mouse,49,0
1980,6,35,control,PP,2,686,14,Chaetodipus penicillatus,Rodent,Desert pocket mouse,49,0.04081632653061224
1980,6,35,control,RF,0,686,14,Reithrodontomys fulvescens,Rodent,Fulvous harvest mouse,49,0
1980,6,35,control,RM,0,686,14,Reithrodontomys megalotis,Rodent,Western harvest mouse,49,0
1980,6,35,control,RO,0,686,14,Reithrodontomys montanus,Rodent,Plains harvest mouse,49,0
1980,6,35,control,SF,0,686,14,Sigmodon fulviventer,Rodent,Tawny-bellied cotton rat,49,0
1980,6,35,control,SH,0,686,14,Sigmodon hispidus,Rodent,Hispid cotton rat,49,0
1980,6,35,control,SO,0,686,14,Sigmodon ochrognathus,Rodent,Yellow nosed cotton rat,49,0
1980,7,36,control,BA,0,686,14,Baiomys taylori,Rodent,Northern pygmy mouse,49,0
1980,7,36,control,DM,12,686,14,Dipodomys merriami,Rodent,Merriam's kangaroo rat,49,0.24489795918367346
1980,7,36,control,DO,6,686,14,Dipodomys ordii,Rodent,Ord's kangaroo rat,49,0.12244897959183673
1980,7,36,control,DS,16,686,14,Dipodomys spectabilis,Rodent,Banner-tailed kangaroo rat,49,0.32653061224489793
1980,7,36,control,NA,2,686,14,Neotoma albigula,Rodent,White-throated woodrat,49,0.04081632653061224
1980,7,36,control,OL,1,686,14,Onychomys leucogaster,Rodent,Northern Grasshopper Mouse,49,0.02040816326530612
1980,7,36,control,OT,1,686,14,Onychomys torridus,Rodent,Southern grasshopper mouse,49,0.02040816326530612
1980,7,36,control,PB,0,686,14,Chaetodipus baileyi,Rodent,Bailey's pocket mouse,49,0
1980,7,36,control,PE,0,686,14,Peromyscus eremicus,Rodent,Cactus mouse,49,0
1980,7,36,control,PF,2,686,14,Perognathus flavus,Rodent,Silky pocket mouse,49,0.04081632653061224
1980,7,36,control,PH,0,686,14,Chaetodipus hispidus,Rodent,Hispid pocket mouse,49,0
1980,7,36,control,PI,0,686,14,Chaetodipus intermedius,Rodent,Rock pocket mouse,49,0
1980,7,36,control,PL,0,686,14,Peromyscus leucopus,Rodent,White-footed mouse,49,0
1980,7,36,control,PM,0,686,14,Peromyscus maniculatus,Rodent,Deer Mouse,49,0
1980,7,36,control,PP,1,686,14,Chaetodipus penicillatus,Rodent,Desert pocket mouse,49,0.02040816326530612
1980,7,36,control,RF,0,686,14,Reithrodontomys fulvescens,Rodent,Fulvous harvest mouse,49,0
1980,7,36,control,RM,0,686,14,Reithrodontomys megalotis,Rodent,Western harvest mouse,49,0
1980,7,36,control,RO,0,686,14,Reithrodontomys montanus,Rodent,Plains harvest mouse,49,0
1980,7,36,control,SF,0,686,14,Sigmodon fulviventer,Rodent,Tawny-bellied cotton rat,49,0
1980,7,36,control,SH,0,686,14,Sigmodon hispidus,Rodent,Hispid cotton rat,49,0
1980,7,36,control,SO,0,686,14,Sigmodon ochrognathus,Rodent,Yellow nosed cotton rat,49,0
1980,8,37,control,BA,0,686,14,Baiomys taylori,Rodent,Northern pygmy mouse,49,0
1980,8,37,control,DM,12,686,14,Dipodomys merriami,Rodent,Merriam's kangaroo rat,49,0.24489795918367346
1980,8,37,control,DO,4,686,14,Dipodomys ordii,Rodent,Ord's kangaroo rat,49,0.08163265306122448
1980,8,37,control,DS,17,686,14,Dipodomys spectabilis,Rodent,Banner-tailed kangaroo rat,49,0.3469387755102041
1980,8,37,control,NA,2,686,14,Neotoma albigula,Rodent,White-throated woodrat,49,0.04081632653061224
1980,8,37,control,OL,2,686,14,Onychomys leucogaster,Rodent,Northern Grasshopper Mouse,49,0.04081632653061224
1980,8,37,control,OT,2,686,14,Onychomys torridus,Rodent,Southern grasshopper mouse,49,0.04081632653061224
1980,8,37,control,PB,0,686,14,Chaetodipus baileyi,Rodent,Bailey's pocket mouse,49,0
1980,8,37,control,PE,0,686,14,Peromyscus eremicus,Rodent,Cactus mouse,49,0
1980,8,37,control,PF,2,686,14,Perognathus flavus,Rodent,Silky pocket mouse,49,0.04081632653061224
1980,8,37,control,PH,0,686,14,Chaetodipus hispidus,Rodent,Hispid pocket mouse,49,0
1980,8,37,control,PI,0,686,14,Chaetodipus intermedius,Rodent,Rock pocket mouse,49,0
1980,8,37,control,PL,0,686,14,Peromyscus leucopus,Rodent,White-footed mouse,49,0
1980,8,37,control,PM,0,686,14,Peromyscus maniculatus,Rodent,Deer Mouse,49,0
1980,8,37,control,PP,2,686,14,Chaetodipus penicillatus,Rodent,Desert pocket mouse,49,0.04081632653061224
1980,8,37,control,RF,0,686,14,Reithrodontomys fulvescens,Rodent,Fulvous harvest mouse,49,0
1980,8,37,control,RM,0,686,14,Reithrodontomys megalotis,Rodent,Western harvest mouse,49,0
1980,8,37,control,RO,0,686,14,Reithrodontomys montanus,Rodent,Plains harvest mouse,49,0
1980,8,37,control,SF,0,686,14,Sigmodon fulviventer,Rodent,Tawny-bellied cotton rat,49,0
1980,8,37,control,SH,0,686,14,Sigmodon hispidus,Rodent,Hispid cotton rat,49,0
1980,8,37,control,SO,0,686,14,Sigmodon ochrognathus,Rodent,Yellow nosed cotton rat,49,0
1980,9,38,control,BA,0,686,14,Baiomys taylori,Rodent,Northern pygmy mouse,49,0
1980,9,38,control,DM,16,686,14,Dipodomys merriami,Rodent,Merriam's kangaroo rat,49,0.32653061224489793
1980,9,38,control,DO,1,686,14,Dipodomys ordii,Rodent,Ord's kangaroo rat,49,0.02040816326530612
1980,9,38,control,DS,21,686,14,Dipodomys spectabilis,Rodent,Banner-tailed kangaroo rat,49,0.42857142857142855
1980,9,38,control,NA,3,686,14,Neotoma albigula,Rodent,White-throated woodrat,49,0.061224489795918366
1980,9,38,control,OL,1,686,14,Onychomys leucogaster,Rodent,Northern Grasshopper Mouse,49,0.02040816326530612
1980,9,38,control,OT,6,686,14,Onychomys torridus,Rodent,Southern grasshopper mouse,49,0.12244897959183673
1980,9,38,control,PB,0,686,14,Chaetodipus baileyi,Rodent,Bailey's pocket mouse,49,0
1980,9,38,control,PE,0,686,14,Peromyscus eremicus,Rodent,Cactus mouse,49,0
1980,9,38,control,PF,3,686,14,Perognathus flavus,Rodent,Silky pocket mouse,49,0.061224489795918366
1980,9,38,control,PH,0,686,14,Chaetodipus hispidus,Rodent,Hispid pocket mouse,49,0
1980,9,38,control,PI,0,686,14,Chaetodipus intermedius,Rodent,Rock pocket mouse,49,0
1980,9,38,control,PL,0,686,14,Peromyscus leucopus,Rodent,White-footed mouse,49,0
1980,9,38,control,PM,0,686,14,Peromyscus maniculatus,Rodent,Deer Mouse,49,0
1980,9,38,control,PP,5,686,14,Chaetodipus penicillatus,Rodent,Desert pocket mouse,49,0.10204081632653061
1980,9,38,control,RF,0,686,14,Reithrodontomys fulvescens,Rodent,Fulvous harvest mouse,49,0
1980,9,38,control,RM,0,686,14,Reithrodontomys megalotis,Rodent,Western harvest mouse,49,0
1980,9,38,control,RO,0,686,14,Reithrodontomys montanus,Rodent,Plains harvest mouse,49,0
1980,9,38,control,SF,0,686,14,Sigmodon fulviventer,Rodent,Tawny-bellied cotton rat,49,0
1980,9,38,control,SH,0,686,14,Sigmodon hispidus,Rodent,Hispid cotton rat,49,0
1980,9,38,control,SO,0,686,14,Sigmodon ochrognathus,Rodent,Yellow nosed cotton rat,49,0
1980,10,39,control,BA,0,686,14,Baiomys taylori,Rodent,Northern pygmy mouse,49,0
1980,10,39,control,DM,15,686,14,Dipodomys merriami,Rodent,Merriam's kangaroo rat,49,0.30612244897959184
1980,10,39,control,DO,1,686,14,Dipodomys ordii,Rodent,Ord's kangaroo rat,49,0.02040816326530612
1980,10,39,control,DS,18,686,14,Dipodomys spectabilis,Rodent,Banner-tailed kangaroo rat,49,0.3673469387755102
1980,10,39,control,NA,3,686,14,Neotoma albigula,Rodent,White-throated woodrat,49,0.061224489795918366
1980,10,39,control,OL,7,686,14,Onychomys leucogaster,Rodent,Northern Grasshopper Mouse,49,0.14285714285714285
1980,10,39,control,OT,5,686,14,Onychomys torridus,Rodent,Southern grasshopper mouse,49,0.10204081632653061
1980,10,39,control,PB,0,686,14,Chaetodipus baileyi,Rodent,Bailey's pocket mouse,49,0
1980,10,39,control,PE,1,686,14,Peromyscus eremicus,Rodent,Cactus mouse,49,0.02040816326530612
1980,10,39,control,PF,4,686,14,Perognathus flavus,Rodent,Silky pocket mouse,49,0.08163265306122448
1980,10,39,control,PH,0,686,14,Chaetodipus hispidus,Rodent,Hispid pocket mouse,49,0
1980,10,39,control,PI,0,686,14,Chaetodipus intermedius,Rodent,Rock pocket mouse,49,0
1980,10,39,control,PL,0,686,14,Peromyscus leucopus,Rodent,White-footed mouse,49,0
1980,10,39,control,PM,0,686,14,Peromyscus maniculatus,Rodent,Deer Mouse,49,0
